Word,Difficulty
a,-0.01
aah,0.21
Aaron,-0.11
aback,0.11
abacus,0.65
abandon,-0.31
abandoned,-0.09
abandoning,-0.11
abandonment,0
abase,0.03
abasement,0.92
abash,0.23
abate,-0.09
abated,0.45
abbess,0.28
abbey,-0.1
abbot,0.21
abbreviate,0.16
abbreviated,-0.25
abbreviation,-0.02
abbreviations,-0.12
abdicate,0.84
abdomen,0.03
abdominal,-0.13
abduct,0.03
abduction,0.01
Abe,0.08
abed,0.5
Abel,-0.24
Abel's,0.2
aberrant,0.55
aberration,0.51
aberrations,0.94
abet,0.37
abetted,0.71
abeyance,0.22
abhor,0.12
abhorred,0.41
abhorrent,0.25
abide,-0.18
abides,-0.05
abiding,0.05
Abigail,0.19
abilities,-0.49
ability,-0.48
abject,0.07
ablaze,0.15
able,-0.5
ably,0.14
abnormal,-0.19
abnormalities,0.26
abnormality,0.03
abnormally,0.02
aboard,-0.52
abode,0.27
abolish,-0.26
abolished,-0.36
abolition,0.08
abolitionist,0.64
abolitionists,0.78
abominable,0.27
abominate,0.51
aboriginal,0.63
aborigine,0.73
aborigines,0.73
abort,-0.41
abortion,-0.32
abortionist,0.12
abortions,-0.2
abortive,0.14
abound,-0.07
abounded,0.17
abounding,0.28
abounds,-0.28
about,-0.56
above,-0.85
aboveground,0.19
abracadabra,0.74
Abraham,-0.14
abrasion,0.08
abrasive,-0.25
abreast,0.41
abridged,0.24
abridgment,0.87
abroad,-0.51
abrogate,0.72
abrogated,0.32
abrupt,-0.19
abruptly,-0.12
abruptness,0.33
abscess,1.02
abscesses,1.06
abscissa,0.77
abscond,0.54
absence,-0.4
absences,-0.09
absent,-0.41
absented,-0.07
absentee,0.32
absenteeism,0.81
absently,-0.4
absentmindedly,1.1
absinth,0.83
absolute,-0.34
absolutely,-0.45
absoluteness,0.17
absolutes,0.02
absolution,0.29
absolutism,0.48
absolve,-0.19
absorb,-0.54
absorbed,-0.24
absorbency,0.53
absorbent,0.12
absorber,0.16
absorbing,-0.08
absorbs,-0.47
absorption,0.25
absorptions,0.31
absorptive,0.54
abstain,-0.06
abstaining,0.26
abstention,0.74
abstinence,0.17
abstinent,0.73
abstract,-0.4
abstracted,-0.02
abstractedness,0.96
abstracting,0.11
abstraction,0.03
abstractionism,0.93
abstractionists,1.37
abstractions,0.09
abstractive,0.71
abstractly,-0.03
abstractors,0.47
abstracts,-0.19
abstruse,0.89
absurd,-0.22
absurdities,0.54
absurdity,0.22
absurdly,0.08
abundance,-0.27
abundant,-0.34
abuse,-0.7
abused,-0.5
abuses,-0.46
abusive,-0.11
abut,0.81
abutment,1.1
abutments,1.45
abysmal,-0.1
abyss,-0.34
acacia,0.32
academic,-0.32
academically,0.36
academicianship,1.31
academics,-0.42
academies,-0.01
